l_code,l_name,year,b_date,f_date
401,稚内,1953,1953-05-30,1953-05-21
401,稚内,1954,1954-05-27,1954-05-17
401,稚内,1955,1955-05-23,1955-05-17
401,稚内,1956,1956-05-14,1956-05-12
401,稚内,1957,1957-05-22,1957-05-18
401,稚内,1958,1958-05-25,1958-05-23
401,稚内,1959,1959-05-12,1959-05-03
401,稚内,1960,1960-05-24,1960-05-19
401,稚内,1961,1961-05-18,1961-05-11
401,稚内,1962,1962-05-17,1962-05-10
401,稚内,1963,1963-05-15,1963-05-12
401,稚内,1964,NA,1964-05-16
401,稚内,1965,1965-05-22,1965-05-18
401,稚内,1966,NA,NA
401,稚内,1967,NA,NA
401,稚内,1968,NA,NA
401,稚内,1969,NA,NA
401,稚内,1970,NA,NA
401,稚内,1971,NA,NA
401,稚内,1972,NA,NA
401,稚内,1973,NA,1973-05-20
401,稚内,1974,1974-05-22,1974-05-19
401,稚内,1975,1975-05-22,1975-05-19
406,留萌,1953,1953-05-13,1953-05-08
406,留萌,1954,1954-05-17,1954-05-11
406,留萌,1955,1955-05-16,1955-05-13
406,留萌,1956,1956-05-14,1956-05-08
406,留萌,1957,1957-05-14,1957-05-10
406,留萌,1958,1958-05-16,1958-05-12
406,留萌,1959,NA,NA
406,留萌,1960,NA,NA
406,留萌,1961,1961-05-13,1961-05-07
406,留萌,1962,1962-05-16,1962-05-09
406,留萌,1963,1963-05-17,1963-05-13
406,留萌,1964,1964-05-11,1964-05-08
406,留萌,1965,1965-05-23,1965-05-18
406,留萌,1966,1966-05-20,1966-05-16
406,留萌,1967,1967-05-19,1967-05-11
406,留萌,1968,1968-05-11,1968-05-08
406,留萌,1969,1969-05-18,1969-05-16
406,留萌,1970,1970-05-11,1970-05-09
406,留萌,1971,1971-05-21,1971-05-17
406,留萌,1972,NA,NA
406,留萌,1973,1973-05-18,1973-05-12
406,留萌,1974,1974-05-18,1974-05-15
406,留萌,1975,1975-05-12,1975-05-08
407,旭川,1953,1953-05-16,1953-05-11
407,旭川,1954,1954-05-18,1954-05-13
407,旭川,1955,1955-05-14,1955-05-09
407,旭川,1956,1956-05-13,1956-05-07
407,旭川,1957,1957-05-14,1957-05-09
407,旭川,1958,1958-05-15,1958-05-10
407,旭川,1959,1959-05-13,1959-05-08
407,旭川,1960,1960-05-16,1960-05-13
407,旭川,1961,1961-05-12,1961-05-08
407,旭川,1962,1962-05-11,1962-05-08
407,旭川,1963,1963-05-13,1963-05-10
407,旭川,1964,1964-05-16,1964-05-12
407,旭川,1965,1965-05-19,1965-05-15
407,旭川,1966,1966-05-18,1966-05-14
407,旭川,1967,1967-05-08,1967-05-05
407,旭川,1968,1968-05-05,1968-05-02
407,旭川,1969,1969-05-09,1969-05-06
407,旭川,1970,1970-05-10,1970-05-07
407,旭川,1971,1971-05-15,1971-05-12
407,旭川,1972,1972-05-04,1972-04-30
407,旭川,1973,1973-05-11,1973-05-09
407,旭川,1974,1974-05-15,1974-05-13
407,旭川,1975,1975-05-12,1975-05-08
409,網走,1953,1953-05-26,1953-05-24
409,網走,1954,1954-05-19,1954-05-16
409,網走,1955,1955-05-20,1955-05-18
409,網走,1956,1956-05-13,1956-05-09
409,網走,1957,NA,NA
409,網走,1958,NA,NA
409,網走,1959,1959-05-07,1959-05-03
409,網走,1960,NA,NA
409,網走,1961,NA,1961-05-08
409,網走,1962,NA,NA
409,網走,1963,NA,1963-05-13
409,網走,1964,NA,NA
409,網走,1965,NA,1965-05-17
409,網走,1966,1966-05-21,1966-05-18
409,網走,1967,NA,1967-05-10
409,網走,1968,1968-05-10,1968-05-06
409,網走,1969,1969-05-13,1969-05-09
409,網走,1970,1970-05-10,1970-05-08
409,網走,1971,1971-05-20,1971-05-16
409,網走,1972,1972-05-06,1972-05-03
409,網走,1973,1973-05-13,1973-05-09
409,網走,1974,1974-05-18,1974-05-16
409,網走,1975,1975-05-17,1975-05-14
412,札幌,1953,1953-05-14,1953-05-07
412,札幌,1954,1954-05-08,1954-05-04
412,札幌,1955,1955-05-16,1955-05-11
412,札幌,1956,1956-05-09,1956-05-04
412,札幌,1957,1957-05-13,1957-05-09
412,札幌,1958,NA,NA
412,札幌,1959,1959-05-10,1959-05-05
412,札幌,1960,1960-05-09,1960-05-05
412,札幌,1961,1961-05-09,1961-05-04
412,札幌,1962,1962-05-05,1962-04-30
412,札幌,1963,1963-05-05,1963-05-02
412,札幌,1964,1964-05-07,1964-05-04
412,札幌,1965,1965-05-16,1965-05-13
412,札幌,1966,1966-05-11,1966-05-03
412,札幌,1967,1967-05-04,1967-05-01
412,札幌,1968,1968-05-04,1968-04-26
412,札幌,1969,1969-05-10,1969-05-05
412,札幌,1970,1970-05-09,1970-05-03
412,札幌,1971,1971-05-13,1971-05-09
412,札幌,1972,1972-05-01,1972-04-29
412,札幌,1973,1973-05-07,1973-05-05
412,札幌,1974,1974-05-13,1974-05-11
412,札幌,1975,1975-05-08,1975-05-04
413,岩見沢,1953,1953-05-11,1953-05-09
413,岩見沢,1954,1954-05-09,1954-05-06
413,岩見沢,1955,1955-05-13,1955-05-10
413,岩見沢,1956,1956-05-09,1956-05-05
413,岩見沢,1957,NA,1957-05-08
413,岩見沢,1958,1958-05-14,1958-05-10
413,岩見沢,1959,NA,1959-04-28
413,岩見沢,1960,1960-05-15,1960-05-11
413,岩見沢,1961,1961-05-07,1961-05-04
413,岩見沢,1962,1962-05-05,1962-05-03
413,岩見沢,1963,1963-05-12,1963-05-08
413,岩見沢,1964,1964-05-10,1964-05-07
413,岩見沢,1965,1965-05-20,1965-05-16
413,岩見沢,1966,1966-05-17,1966-05-12
413,岩見沢,1967,1967-05-10,1967-05-05
413,岩見沢,1968,1968-05-06,1968-05-03
413,岩見沢,1969,1969-05-13,1969-05-10
413,岩見沢,1970,1970-05-13,1970-05-09
413,岩見沢,1971,1971-05-17,1971-05-14
413,岩見沢,1972,1972-05-06,1972-05-04
